Number,DOI,year,Material (accurate),Material,RE,RE_C,WE(substrate),Electrolyte,El_conc(M),A_concentration,scan(mV/s),pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),J__mA_cm2,loading mg_cm-2,Pot_Onset_V (NHE),Pot_Ox_V (NHE),Ox_Onset
67,10.1016/j.ijhydene.2022.12.055,2022,PdPt/C,Pd_Pt_C,RHE,standard,GCE,KOH,1,1,50,14,"0,6376","0,9","10,27",,"-0,1884","0,0740000000000001","0,2624"
67,10.1016/j.ijhydene.2022.12.055,2022,PdAg/C,Pd_Ag_C,RHE,standard,GCE,KOH,1,1,50,14,"0,647","0,914","7,1461",,"-0,179","0,0880000000000001","0,267"
68,10.1149/1945-7111/acee27,2023,Pd/Ni Foam,Pd,RHE,standard,NF,NaOH,2,1,10,"14,15","0,6","1,03","219,66",,"-0,23485","0,19515","0,43"
68,10.1149/1945-7111/acee27,2023,Pd/Ni Foam,Pd_Ni,RHE,standard,NF,NaOH,2,1,10,"14,15","0,6","1,09","314,89",,"-0,23485","0,25515","0,49"
69,10.1016/j.electacta.2023.142325,2023,NiOxHy@Carbon Felt,Ni_O_H,SCE,Sat.,CF,NaOH,"0,1","0,008",10,"12,99","0,4229","0,6907","8,88",,"0,6669","0,9347","0,2678"
70,10.1016/j.ijhydene.2022.12.274,2023,PdNiP/50nmSAIC,Pd_N_P,SCE,Sat.,GCE,KOH,1,1,50,14,"-0,6","-0,16735","2,832","0,012","-0,356","0,07665","0,43265"
71,10.3390/nano13071173,2023,Pt75Fe25/C-hydrazine,Pt_Fe_C_Hy,RHE,standard,GCE,NaOH,"0,1","0,5",10,"12,8","0,35","0,87","13,16544","0,06857","-0,4052","0,1148","0,52"
71,10.3390/nano13071173,2023,Pt/C,Pt_C,RHE,standard,Commercial,NaOH,"0,1","0,5",10,"12,8","0,4","0,8388","21,8205","0,3357","-0,3552","0,0836","0,4388"
72,10.1016/j.fuel.2022.126471,2022,Pd/ CNTs,Pd_CNT,Ag/AgCl,Sat.,CF,KOH,"0,5","0,5",50,"13,56","-0,35","0,069","48,67",,"-0,151","0,268","0,419"
72,10.1016/j.fuel.2022.126471,2022,N doped/PdCNTs ,Pd_CNT_N,Ag/AgCl,Sat.,CF,KOH,"0,5","0,5",50,"13,56","-0,35","0,1",60,,"-0,151","0,299","0,45"
72,10.1016/j.fuel.2022.126471,2022,P doped/ PdCNTs ,Pd_CNT_P,Ag/AgCl,Sat.,CF,KOH,"0,5","0,5",50,"13,56","-0,35","0,1","69,33",,"-0,151","0,299","0,45"
72,10.1016/j.fuel.2022.126471,2022,NP doped/PdCNTs,Pd_CNT_N_P,Ag/AgCl,Sat.,CF,KOH,"0,5","0,5",50,"13,56","-0,3","0,11388","76,67",,"-0,101","0,31288","0,41388"
